Report Refresh Date,User Principal Name,Display Name,Is Deleted,Deleted Date,Has Exchange License,Has OneDrive License,Has SharePoint License,Has Skype For Business License,Has Yammer License,Has Teams License,Exchange Last Activity Date,OneDrive Last Activity Date,SharePoint Last Activity Date,Skype For Business Last Activity Date,Yammer Last Activity Date,Teams Last Activity Date,Assigned Products
2026-09-10,alice.chen@contoso-demo.com,Alice Chen,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2026-08-28,2026-08-29,2026-08-27,,,2026-08-30,MICROSOFT 365 E3
2026-09-10,bob.ibrahim@contoso-demo.com,Bob Ibrahim,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2026-08-25,2026-08-26,2026-08-20,,,2026-08-27,MICROSOFT 365 E3+ENTERPRISE MOBILITY + SECURITY E3
2026-09-10,carol.ng@contoso-demo.com,Carol Ng,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,MICROSOFT 365 BUSINESS PREMIUM
2026-09-10,dave.osei@contoso-demo.com,Dave Osei,FALSE,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,2026-01-15,2026-01-10,2026-01-12,,,2026-01-18,OFFICE 365 E3
2026-09-10,erin.walsh@contoso-demo.com,Erin Walsh,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2026-08-22,2026-08-24,2026-08-21,,,2026-08-25,MICROSOFT 365 E5
2026-09-10,frank.moretti@contoso-demo.com,Frank Moretti,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2026-08-20,2026-08-21,2026-08-19,2026-07-30,2026-08-15,2026-08-22,MICROSOFT 365 E5
2026-09-10,grace.kim@contoso-demo.com,Grace Kim,FALSE,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,2026-08-18,2026-08-19,2026-08-17,,,2026-08-20,MICROSOFT 365 BUSINESS BASIC
2026-09-10,heidi.brandt@contoso-demo.com,Heidi Brandt,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2026-08-10,2026-08-11,2026-08-09,,,2026-08-12,MICROSOFT 365 BUSINESS PREMIUM+MICROSOFT 365 BUSINESS STANDARD
2026-09-10,ivan.petrov@contoso-demo.com,Ivan Petrov,TRUE,2026-07-01,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,2026-06-01,2026-06-02,2026-06-01,,,2026-06-03,OFFICE 365 E3
2026-09-10,judy.alvarez@contoso-demo.com,Judy Alvarez,FALSE,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,2026-08-29,2026-08-28,2026-08-27,,,2026-08-30,OFFICE 365 E1
2026-09-10,mallory.singh@contoso-demo.com,Mallory Singh,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,MICROSOFT 365 E5
2026-09-10,niaj.hossain@contoso-demo.com,Niaj Hossain,FALSE,,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,2026-08-15,2026-08-14,2026-08-13,,,2026-08-16,MICROSOFT 365 F3
2026-09-10,olivia.dupont@contoso-demo.com,Olivia Dupont,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2026-08-24,2026-08-23,2026-08-22,,,2026-08-25,MICROSOFT 365 E5+OFFICE 365 E5
2026-09-10,peter.oyelaran@contoso-demo.com,Peter Oyelaran,FALSE,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,2026-05-01,2026-04-28,2026-04-30,,,2026-05-02,MICROSOFT 365 BUSINESS STANDARD
2026-09-10,quinn.baker@contoso-demo.com,Quinn Baker,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2026-08-26,2026-08-27,2026-08-25,,,2026-08-28,MICROSOFT 365 E3
2026-09-10,ruth.almeida@contoso-demo.com,Ruth Almeida,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2026-08-05,2026-08-06,2026-08-04,,,2026-08-07,MICROSOFT 365 E5
